input,output
length of age < 3910,ColumnLength `age` < 3910
length of ticker_symbol > 9842,ColumnLength `ticker_symbol` > 9842
length of weight > 4470,ColumnLength `weight` > 4470
length of ticker_symbol = 3292,ColumnLength `ticker_symbol` = 3292
length of salary < 144,ColumnLength `salary` < 144
weight = 588094,ColumnValue `weight` = 588094
age >= 567197,ColumnValue `age` >= 567197
length of holdings >= 8876,ColumnLength `holdings` >= 8876
length of age < 4351,ColumnLength `age` < 4351
weight < 956030,ColumnValue `weight` < 956030
type of salary is float,ColumnDataType `salary` = 956030
length of holdings > 8742,ColumnLength `holdings` > 8742
type of cusip is int,ColumnDataType `cusip` = 8742
type of cusip is int,ColumnDataType `cusip` = 8742
type of salary is boolean,ColumnDataType `salary` = 8742
weight = 63646,ColumnValue `weight` = 63646
type of height is string,ColumnDataType `height` = 63646
ticker_symbol > 642848,ColumnValue `ticker_symbol` > 642848
type of weight is string,ColumnDataType `weight` = 642848
length of ticker_symbol <= 8812,ColumnLength `ticker_symbol` <= 8812
weight >= 889856,ColumnValue `weight` >= 889856
ticker_symbol = 903599,ColumnValue `ticker_symbol` = 903599
weight > 632975,ColumnValue `weight` > 632975
length of ticker_symbol >= 3532,ColumnLength `ticker_symbol` >= 3532
length of age = 4617,ColumnLength `age` = 4617
length of height >= 7414,ColumnLength `height` >= 7414
age >= 858999,ColumnValue `age` >= 858999
length of height <= 3448,ColumnLength `height` <= 3448
cusip < 121268,ColumnValue `cusip` < 121268
height <= 951513,ColumnValue `height` <= 951513
length of salary > 1511,ColumnLength `salary` > 1511
length of cusip > 7921,ColumnLength `cusip` > 7921
length of salary > 4601,ColumnLength `salary` > 4601
length of salary <= 3458,ColumnLength `salary` <= 3458
holdings < 481168,ColumnValue `holdings` < 481168
length of weight < 3453,ColumnLength `weight` < 3453
weight < 812987,ColumnValue `weight` < 812987
length of age < 2364,ColumnLength `age` < 2364
cusip > 963196,ColumnValue `cusip` > 963196
salary < 87177,ColumnValue `salary` < 87177
type of holdings is string,ColumnDataType `holdings` = 87177
type of height is float,ColumnDataType `height` = 87177
type of age is string,ColumnDataType `age` = 87177
length of weight > 1187,ColumnLength `weight` > 1187
age <= 398169,ColumnValue `age` <= 398169
type of holdings is string,ColumnDataType `holdings` = 398169
length of height > 5478,ColumnLength `height` > 5478
length of age <= 6650,ColumnLength `age` <= 6650
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 6650
salary > 712216,ColumnValue `salary` > 712216
type of cusip is int,ColumnDataType `cusip` = 712216
weight = 87218,ColumnValue `weight` = 87218
ticker_symbol <= 383765,ColumnValue `ticker_symbol` <= 383765
type of cusip is float,ColumnDataType `cusip` = 383765
length of holdings <= 6281,ColumnLength `holdings` <= 6281
type of height is string,ColumnDataType `height` = 6281
holdings <= 118952,ColumnValue `holdings` <= 118952
height > 669110,ColumnValue `height` > 669110
length of age = 8873,ColumnLength `age` = 8873
holdings <= 882690,ColumnValue `holdings` <= 882690
type of holdings is string,ColumnDataType `holdings` = 882690
length of weight = 9200,ColumnLength `weight` = 9200
ticker_symbol >= 912376,ColumnValue `ticker_symbol` >= 912376
length of cusip <= 4483,ColumnLength `cusip` <= 4483
type of weight is float,ColumnDataType `weight` = 4483
salary > 966393,ColumnValue `salary` > 966393
ticker_symbol >= 696650,ColumnValue `ticker_symbol` >= 696650
type of height is string,ColumnDataType `height` = 696650
type of cusip is float,ColumnDataType `cusip` = 696650
type of weight is int,ColumnDataType `weight` = 696650
type of salary is string,ColumnDataType `salary` = 696650
length of cusip > 6856,ColumnLength `cusip` > 6856
type of age is float,ColumnDataType `age` = 6856
age = 470446,ColumnValue `age` = 470446
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 470446
length of height <= 5151,ColumnLength `height` <= 5151
type of age is boolean,ColumnDataType `age` = 5151
length of age = 6335,ColumnLength `age` = 6335
ticker_symbol <= 945740,ColumnValue `ticker_symbol` <= 945740
type of holdings is string,ColumnDataType `holdings` = 945740
type of height is string,ColumnDataType `height` = 945740
length of weight >= 9605,ColumnLength `weight` >= 9605
length of height > 7245,ColumnLength `height` > 7245
type of age is string,ColumnDataType `age` = 7245
cusip <= 298219,ColumnValue `cusip` <= 298219
cusip > 751216,ColumnValue `cusip` > 751216
length of height = 9933,ColumnLength `height` = 9933
type of cusip is boolean,ColumnDataType `cusip` = 9933
height < 333459,ColumnValue `height` < 333459
type of holdings is int,ColumnDataType `holdings` = 333459
length of salary >= 7558,ColumnLength `salary` >= 7558
ticker_symbol >= 955443,ColumnValue `ticker_symbol` >= 955443
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 955443
cusip > 558487,ColumnValue `cusip` > 558487
type of cusip is float,ColumnDataType `cusip` = 558487
weight <= 272660,ColumnValue `weight` <= 272660
ticker_symbol > 82144,ColumnValue `ticker_symbol` > 82144
length of weight > 9997,ColumnLength `weight` > 9997
type of age is int,ColumnDataType `age` = 9997
length of salary = 3674,ColumnLength `salary` = 3674
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 3674
type of cusip is int,ColumnDataType `cusip` = 3674
length of ticker_symbol = 8405,ColumnLength `ticker_symbol` = 8405
type of salary is string,ColumnDataType `salary` = 8405
type of weight is string,ColumnDataType `weight` = 8405
height <= 739745,ColumnValue `height` <= 739745
height < 572874,ColumnValue `height` < 572874
length of height <= 8346,ColumnLength `height` <= 8346
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 8346
cusip >= 210499,ColumnValue `cusip` >= 210499
type of salary is string,ColumnDataType `salary` = 210499
length of age = 5232,ColumnLength `age` = 5232
ticker_symbol > 645912,ColumnValue `ticker_symbol` > 645912
ticker_symbol >= 756052,ColumnValue `ticker_symbol` >= 756052
type of height is boolean,ColumnDataType `height` = 756052
holdings < 537002,ColumnValue `holdings` < 537002
length of age >= 9210,ColumnLength `age` >= 9210
ticker_symbol > 87895,ColumnValue `ticker_symbol` > 87895
length of cusip > 7012,ColumnLength `cusip` > 7012
type of salary is int,ColumnDataType `salary` = 7012
length of holdings < 9960,ColumnLength `holdings` < 9960
length of ticker_symbol = 1770,ColumnLength `ticker_symbol` = 1770
weight >= 659811,ColumnValue `weight` >= 659811
type of salary is string,ColumnDataType `salary` = 659811
type of cusip is boolean,ColumnDataType `cusip` = 659811
length of ticker_symbol = 5353,ColumnLength `ticker_symbol` = 5353
length of cusip < 3382,ColumnLength `cusip` < 3382
type of holdings is float,ColumnDataType `holdings` = 3382
type of age is boolean,ColumnDataType `age` = 3382
cusip <= 408222,ColumnValue `cusip` <= 408222
weight > 767543,ColumnValue `weight` > 767543
length of ticker_symbol > 4438,ColumnLength `ticker_symbol` > 4438
length of salary = 7870,ColumnLength `salary` = 7870
length of salary > 288,ColumnLength `salary` > 288
length of weight = 9179,ColumnLength `weight` = 9179
length of cusip < 9363,ColumnLength `cusip` < 9363
type of weight is string,ColumnDataType `weight` = 9363
length of cusip < 5460,ColumnLength `cusip` < 5460
holdings = 949091,ColumnValue `holdings` = 949091
type of height is string,ColumnDataType `height` = 949091
length of cusip <= 8379,ColumnLength `cusip` <= 8379
height >= 763285,ColumnValue `height` >= 763285
length of ticker_symbol = 3921,ColumnLength `ticker_symbol` = 3921
length of cusip <= 4748,ColumnLength `cusip` <= 4748
length of ticker_symbol >= 206,ColumnLength `ticker_symbol` >= 206
age >= 231345,ColumnValue `age` >= 231345
length of cusip < 4671,ColumnLength `cusip` < 4671
length of height >= 8864,ColumnLength `height` >= 8864
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 8864
age > 613118,ColumnValue `age` > 613118
type of holdings is string,ColumnDataType `holdings` = 613118
holdings > 718920,ColumnValue `holdings` > 718920
type of age is float,ColumnDataType `age` = 718920
ticker_symbol >= 58839,ColumnValue `ticker_symbol` >= 58839
length of cusip < 2060,ColumnLength `cusip` < 2060
type of cusip is string,ColumnDataType `cusip` = 2060
holdings > 389390,ColumnValue `holdings` > 389390
type of age is float,ColumnDataType `age` = 389390
length of salary = 7934,ColumnLength `salary` = 7934
weight = 225052,ColumnValue `weight` = 225052
length of holdings > 2554,ColumnLength `holdings` > 2554
type of holdings is string,ColumnDataType `holdings` = 2554
type of age is string,ColumnDataType `age` = 2554
height <= 841141,ColumnValue `height` <= 841141
age = 96210,ColumnValue `age` = 96210
holdings > 738998,ColumnValue `holdings` > 738998
holdings = 776599,ColumnValue `holdings` = 776599
ticker_symbol < 696825,ColumnValue `ticker_symbol` < 696825
holdings <= 818108,ColumnValue `holdings` <= 818108
type of holdings is float,ColumnDataType `holdings` = 818108
age > 11648,ColumnValue `age` > 11648
length of holdings > 2305,ColumnLength `holdings` > 2305
length of weight = 234,ColumnLength `weight` = 234
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 234
length of holdings = 4074,ColumnLength `holdings` = 4074
salary > 590279,ColumnValue `salary` > 590279
length of holdings <= 8979,ColumnLength `holdings` <= 8979
length of weight = 2308,ColumnLength `weight` = 2308
type of age is boolean,ColumnDataType `age` = 2308
length of weight < 5200,ColumnLength `weight` < 5200
salary >= 604363,ColumnValue `salary` >= 604363
type of cusip is float,ColumnDataType `cusip` = 604363
type of salary is boolean,ColumnDataType `salary` = 604363
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 604363
weight >= 826688,ColumnValue `weight` >= 826688
length of age >= 6634,ColumnLength `age` >= 6634
type of weight is string,ColumnDataType `weight` = 6634
type of weight is string,ColumnDataType `weight` = 6634
type of cusip is int,ColumnDataType `cusip` = 6634
length of holdings = 4933,ColumnLength `holdings` = 4933
length of salary > 3317,ColumnLength `salary` > 3317
weight < 46477,ColumnValue `weight` < 46477
length of cusip <= 3000,ColumnLength `cusip` <= 3000
cusip = 794985,ColumnValue `cusip` = 794985
weight > 262240,ColumnValue `weight` > 262240
ticker_symbol >= 810421,ColumnValue `ticker_symbol` >= 810421
type of height is boolean,ColumnDataType `height` = 810421
holdings <= 974826,ColumnValue `holdings` <= 974826
length of salary > 9681,ColumnLength `salary` > 9681
ticker_symbol >= 563192,ColumnValue `ticker_symbol` >= 563192
ticker_symbol >= 405761,ColumnValue `ticker_symbol` >= 405761
length of ticker_symbol < 5665,ColumnLength `ticker_symbol` < 5665
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 5665
holdings < 134247,ColumnValue `holdings` < 134247
length of height >= 3161,ColumnLength `height` >= 3161
type of holdings is float,ColumnDataType `holdings` = 3161
ticker_symbol > 477598,ColumnValue `ticker_symbol` > 477598
type of salary is string,ColumnDataType `salary` = 477598
length of weight > 6512,ColumnLength `weight` > 6512
cusip <= 828462,ColumnValue `cusip` <= 828462
weight > 450465,ColumnValue `weight` > 450465
type of cusip is float,ColumnDataType `cusip` = 450465
ticker_symbol = 48160,ColumnValue `ticker_symbol` = 48160
length of holdings >= 4954,ColumnLength `holdings` >= 4954
length of holdings <= 5820,ColumnLength `holdings` <= 5820
length of salary >= 5473,ColumnLength `salary` >= 5473
length of cusip <= 3932,ColumnLength `cusip` <= 3932
height = 156841,ColumnValue `height` = 156841
salary <= 413028,ColumnValue `salary` <= 413028
type of age is string,ColumnDataType `age` = 413028
length of holdings = 4464,ColumnLength `holdings` = 4464
cusip > 733104,ColumnValue `cusip` > 733104
type of cusip is int,ColumnDataType `cusip` = 733104
age = 78743,ColumnValue `age` = 78743
ticker_symbol = 371418,ColumnValue `ticker_symbol` = 371418
holdings >= 231677,ColumnValue `holdings` >= 231677
length of cusip >= 2342,ColumnLength `cusip` >= 2342
salary = 962802,ColumnValue `salary` = 962802
length of age <= 9274,ColumnLength `age` <= 9274
length of height >= 6302,ColumnLength `height` >= 6302
type of salary is float,ColumnDataType `salary` = 6302
type of cusip is boolean,ColumnDataType `cusip` = 6302
type of age is string,ColumnDataType `age` = 6302
type of height is boolean,ColumnDataType `height` = 6302
type of holdings is float,ColumnDataType `holdings` = 6302
cusip <= 557508,ColumnValue `cusip` <= 557508
length of weight < 9267,ColumnLength `weight` < 9267
length of weight < 1877,ColumnLength `weight` < 1877
age > 679750,ColumnValue `age` > 679750
type of height is string,ColumnDataType `height` = 679750
age > 371758,ColumnValue `age` > 371758
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 371758
length of age > 5247,ColumnLength `age` > 5247
type of holdings is string,ColumnDataType `holdings` = 5247
type of height is float,ColumnDataType `height` = 5247
length of cusip > 4205,ColumnLength `cusip` > 4205
age < 165311,ColumnValue `age` < 165311
length of salary <= 4240,ColumnLength `salary` <= 4240
age <= 763924,ColumnValue `age` <= 763924
holdings >= 205667,ColumnValue `holdings` >= 205667
height <= 919508,ColumnValue `height` <= 919508
ticker_symbol > 925857,ColumnValue `ticker_symbol` > 925857
length of cusip = 2559,ColumnLength `cusip` = 2559
cusip < 731350,ColumnValue `cusip` < 731350
length of holdings <= 3542,ColumnLength `holdings` <= 3542
type of cusip is float,ColumnDataType `cusip` = 3542
type of cusip is string,ColumnDataType `cusip` = 3542
length of holdings <= 7571,ColumnLength `holdings` <= 7571
cusip < 859185,ColumnValue `cusip` < 859185
type of weight is float,ColumnDataType `weight` = 859185
length of cusip < 8213,ColumnLength `cusip` < 8213
holdings >= 241051,ColumnValue `holdings` >= 241051
length of holdings <= 1109,ColumnLength `holdings` <= 1109
length of age >= 2375,ColumnLength `age` >= 2375
salary >= 661091,ColumnValue `salary` >= 661091
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 661091
length of weight <= 9830,ColumnLength `weight` <= 9830
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 9830
type of weight is boolean,ColumnDataType `weight` = 9830
type of salary is int,ColumnDataType `salary` = 9830
weight = 883217,ColumnValue `weight` = 883217
type of age is int,ColumnDataType `age` = 883217
length of age < 859,ColumnLength `age` < 859
type of height is int,ColumnDataType `height` = 859
type of holdings is float,ColumnDataType `holdings` = 859
length of cusip >= 2663,ColumnLength `cusip` >= 2663
length of cusip <= 155,ColumnLength `cusip` <= 155
cusip < 180018,ColumnValue `cusip` < 180018
length of age < 7557,ColumnLength `age` < 7557
age < 438339,ColumnValue `age` < 438339
age <= 942430,ColumnValue `age` <= 942430
type of salary is int,ColumnDataType `salary` = 942430
length of salary > 324,ColumnLength `salary` > 324
height < 271204,ColumnValue `height` < 271204
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 271204
length of ticker_symbol <= 3374,ColumnLength `ticker_symbol` <= 3374
